Найден на шаге: 993	Энергетическая функция: 0.7817
(-1, -1, -1)	(115, 85, 101)	XYZ
(-1, -1, -1)	(142, 77, 89)	YZX
(648, 539, 539)	(65, 96, 155)	XYZ
(-1, -1, -1)	(128, 116, 64)	ZYX
(-1, -1, -1)	(96, 94, 105)	ZYX
(0, 567, 903)	(166, 58, 98)	YXZ
(-1, -1, -1)	(160, 75, 78)	YZX
(154, 180, 938)	(87, 139, 77)	ZYX
(-1, -1, -1)	(103, 118, 76)	XYZ
(641, 439, 697)	(56, 92, 179)	XYZ
(-1, -1, -1)	(131, 73, 96)	XYZ
(0, 669, 731)	(140, 55, 119)	YXZ
(-1, -1, -1)	(167, 83, 66)	ZXY
(639, 165, 737)	(80, 74, 154)	ZYX
(-1, -1, -1)	(82, 118, 94)	ZYX
(-1, -1, -1)	(107, 76, 111)	YZX
(-1, -1, -1)	(117, 67, 113)	YZX
(-1, -1, -1)	(106, 80, 104)	ZYX
(-1, -1, -1)	(161, 62, 88)	XZY
(-1, -1, -1)	(88, 121, 81)	XYZ
(-1, -1, -1)	(176, 87, 56)	XZY
(-1, -1, -1)	(101, 157, 54)	ZXY
(-1, -1, -1)	(126, 69, 96)	ZXY
(-1, -1, -1)	(85, 99, 99)	YZX
(-1, -1, -1)	(98, 104, 81)	XZY
(-1, -1, -1)	(64, 111, 115)	ZXY
(-1, -1, -1)	(146, 71, 78)	XZY
(177, 669, 801)	(102, 59, 134)	ZXY
(-1, -1, -1)	(63, 182, 67)	YXZ
(-1, -1, -1)	(92, 151, 55)	XYZ
(-1, -1, -1)	(79, 140, 69)	ZXY
(-1, -1, -1)	(89, 84, 101)	XZY
(-1, -1, -1)	(91, 115, 72)	XYZ
(-1, -1, -1)	(91, 62, 132)	XYZ
(-1, -1, -1)	(141, 63, 82)	XZY
(-1, -1, -1)	(101, 104, 69)	ZYX
(-1, -1, -1)	(101, 78, 90)	YXZ
(648, 693, 442)	(54, 96, 129)	XYZ
(927, 925, 0)	(71, 85, 108)	XYZ
(-1, -1, -1)	(60, 168, 63)	YZX
(176, 552, 903)	(81, 72, 105)	YZX
(-1, -1, -1)	(171, 62, 57)	YZX
(-1, -1, -1)	(90, 89, 75)	YXZ
(-1, -1, -1)	(94, 77, 82)	XZY
(-1, -1, -1)	(85, 72, 94)	YXZ
(-1, -1, -1)	(59, 105, 92)	XYZ
(639, 165, 891)	(60, 70, 131)	XYZ
(-1, -1, -1)	(80, 67, 101)	ZYX
(641, 439, 876)	(53, 75, 134)	XYZ
(-1, -1, -1)	(95, 62, 90)	XYZ
(-1, -1, -1)	(54, 185, 53)	XYZ
(-1, -1, -1)	(86, 111, 55)	XYZ
(-1, -1, -1)	(81, 86, 75)	XZY
(648, 539, 694)	(56, 79, 116)	ZYX
(-1, -1, -1)	(52, 116, 83)	ZYX
(212, 919, 812)	(57, 57, 151)	XZY
(927, 925, 108)	(65, 76, 99)	XZY
(-1, -1, -1)	(147, 58, 57)	XZY
